Index,Substrate,Photocatalyst,Organocatalyst,File name,AR,ee (IM-MS),,
365,S3,P8,L2,S3-P8-L2,1.05 ,40.63%,,
366,S3,P8,L3,S3-P8-L3,0.41 ,35.38%,,
367,S3,P8,L4,S3-P8-L4,0.77 ,5.88%,,
368,S3,P8,L5,S3-P8-L5,0.36 ,-2.92%,,
369,S3,P8,L6,S3-P8-L6,0.13 ,13.91%,,
370,S3,P8,L7,S3-P8-L7,0.50 ,4.52%,,
371,S3,P8,L8,S3-P8-L8,0.17 ,1.41%,,
372,S3,P8,L9,S3-P8-L9,0.39 ,-10.04%,,
373,S3,P8,L10,S3-P8-L10,0.33 ,-40.76%,,
374,S3,P8,L11,S3-P8-L11,0.04 ,8.37%,,
375,S3,P9,L1,S3-P9-L1,0.09 ,8.60%,,
376,S3,P9,L2,S3-P9-L2,0.92 ,31.25%,,
377,S3,P9,L3,S3-P9-L3,0.11 ,35.10%,,
378,S3,P9,L4,S3-P9-L4,0.39 ,-15.36%,,
379,S3,P9,L5,S3-P9-L5,0.63 ,12.83%,,
380,S3,P9,L6,S3-P9-L6,0.13 ,20.82%,,
381,S3,P9,L7,S3-P9-L7,0.57 ,9.47%,,
382,S3,P9,L8,S3-P9-L8,0.12 ,0.07%,,
383,S3,P9,L9,S3-P9-L9,0.34 ,-7.41%,,
384,S3,P9,L10,S3-P9-L10,0.36 ,-19.79%,,
385,S3,P9,L11,S3-P9-L11,0.03 ,-2.39%,,
386,S3,P10,L1,S3-P10-L1,0.04 ,-1.25%,,
387,S3,P10,L2,S3-P10-L2,0.23 ,44.61%,,
388,S3,P10,L3,S3-P10-L3,0.04 ,20.47%,,
389,S3,P10,L4,S3-P10-L4,0.09 ,-3.68%,,
390,S3,P10,L5,S3-P10-L5,0.11 ,2.53%,,
391,S3,P10,L6,S3-P10-L6,0.08 ,12.43%,,
392,S3,P10,L7,S3-P10-L7,0.14 ,10.49%,,
393,S3,P10,L8,S3-P10-L8,0.07 ,1.55%,,
394,S3,P10,L9,S3-P10-L9,0.12 ,-5.91%,,
395,S3,P10,L10,S3-P10-L10,0.08 ,-7.55%,,
396,S3,P10,L11,S3-P10-L11,0.01 ,-17.76%,,
397,S3,P11,L1,S3-P11-L1,0.04 ,0.12%,,
398,S3,P11,L2,S3-P11-L2,0.43 ,45.33%,,
399,S3,P11,L3,S3-P11-L3,0.05 ,36.58%,,
400,S3,P11,L4,S3-P11-L4,0.25 ,-17.65%,,
401,S3,P11,L5,S3-P11-L5,0.15 ,-8.45%,,
402,S3,P11,L6,S3-P11-L6,0.10 ,31.83%,,
403,S3,P11,L7,S3-P11-L7,0.26 ,9.68%,,
404,S3,P11,L8,S3-P11-L8,0.07 ,-2.36%,,
405,S3,P11,L9,S3-P11-L9,0.21 ,-5.92%,,
406,S3,P11,L10,S3-P11-L10,0.56 ,-26.90%,,
407,S3,P11,L11,S3-P11-L11,0.01 ,-18.36%,,
408,S3,P12,L1,S3-P12-L1,0.03 ,-3.94%,,
409,S3,P12,L2,S3-P12-L2,0.42 ,47.53%,,
410,S3,P12,L3,S3-P12-L3,0.12 ,-23.05%,,
411,S3,P12,L4,S3-P12-L4,0.40 ,-33.73%,,
412,S3,P12,L5,S3-P12-L5,0.21 ,5.40%,,
413,S3,P12,L6,S3-P12-L6,0.07 ,24.85%,,
414,S3,P12,L7,S3-P12-L7,0.24 ,5.87%,,
415,S3,P12,L8,S3-P12-L8,0.10 ,-3.31%,,
416,S3,P12,L9,S3-P12-L9,0.23 ,-11.16%,,
417,S3,P12,L10,S3-P12-L10,0.42 ,-20.34%,,
418,S3,P12,L11,S3-P12-L11,0.03 ,-0.91%,,
419,S3,P13,L1,S3-P13-L1,0.03 ,5.23%,,
420,S3,P13,L2,S3-P13-L2,0.11 ,43.40%,,
421,S3,P13,L3,S3-P13-L3,0.08 ,6.99%,,
422,S3,P13,L4,S3-P13-L4,0.20 ,-24.09%,,
423,S3,P13,L5,S3-P13-L5,0.14 ,8.32%,,
424,S3,P13,L6,S3-P13-L6,0.05 ,20.17%,,
425,S3,P13,L7,S3-P13-L7,0.11 ,7.89%,,
426,S3,P13,L8,S3-P13-L8,0.03 ,-2.61%,,
427,S3,P13,L9,S3-P13-L9,0.07 ,-14.06%,,
428,S3,P13,L10,S3-P13-L10,0.41 ,-23.44%,,
429,S3,P13,L11,S3-P13-L11,0.02 ,-16.24%,,
430,S4,P1,L1,S4-P1-L1,0.31 ,5.67%,,
431,S4,P1,L2,S4-P1-L2,1.61 ,56.82%,,
432,S4,P1,L3,S4-P1-L3,0.14 ,68.79%,,
433,S4,P1,L4,S4-P1-L4,3.03 ,-62.99%,,
434,S4,P1,L5,S4-P1-L5,1.44 ,-2.12%,,
435,S4,P1,L6,S4-P1-L6,0.19 ,38.54%,,
436,S4,P1,L7,S4-P1-L7,1.16 ,-13.94%,,
437,S4,P1,L8,S4-P1-L8,0.30 ,-10.67%,,
438,S4,P1,L9,S4-P1-L9,1.10 ,-23.11%,,
439,S4,P1,L10,S4-P1-L10,0.49 ,-33.14%,,
440,S4,P1,L11,S4-P1-L11,0.11 ,10.30%,,
441,S4,P2,L1,S4-P2-L1,0.19 ,-0.48%,,
442,S4,P2,L2,S4-P2-L2,2.14 ,45.99%,,
443,S4,P2,L3,S4-P2-L3,0.60 ,29.88%,,
444,S4,P2,L4,S4-P2-L4,0.00 ,25.26%,,
445,S4,P2,L5,S4-P2-L5,1.25 ,-0.55%,,
446,S4,P2,L6,S4-P2-L6,0.08 ,9.41%,,
447,S4,P2,L7,S4-P2-L7,0.69 ,-15.12%,,
448,S4,P2,L8,S4-P2-L8,0.25 ,-11.27%,,
449,S4,P2,L9,S4-P2-L9,1.13 ,-29.71%,,
450,S4,P2,L10,S4-P2-L10,0.28 ,-30.49%,,
451,S4,P2,L11,S4-P2-L11,0.06 ,-3.59%,,
452,S4,P3,L1,S4-P3-L1,0.28 ,-0.03%,,
453,S4,P3,L2,S4-P3-L2,1.95 ,41.23%,,
454,S4,P3,L3,S4-P3-L3,0.52 ,46.66%,,
455,S4,P3,L4,S4-P3-L4,0.05 ,9.26%,,
456,S4,P3,L5,S4-P3-L5,1.01 ,-0.97%,,
457,S4,P3,L6,S4-P3-L6,0.10 ,18.37%,,
458,S4,P3,L7,S4-P3-L7,1.04 ,-17.49%,,
459,S4,P3,L8,S4-P3-L8,0.56 ,-9.43%,,
460,S4,P3,L9,S4-P3-L9,1.51 ,-32.79%,,
461,S4,P3,L10,S4-P3-L10,0.32 ,-31.41%,,
462,S4,P3,L11,S4-P3-L11,0.13 ,-9.47%,,
463,S4,P4,L1,S4-P4-L1,0.31 ,-0.07%,,
464,S4,P4,L2,S4-P4-L2,1.81 ,43.89%,,
465,S4,P4,L3,S4-P4-L3,0.53 ,46.60%,,
466,S4,P4,L4,S4-P4-L4,0.07 ,17.27%,,
467,S4,P4,L5,S4-P4-L5,2.19 ,-6.69%,,
468,S4,P4,L6,S4-P4-L6,0.18 ,15.06%,,
469,S4,P4,L7,S4-P4-L7,1.06 ,-14.26%,,
470,S4,P4,L8,S4-P4-L8,0.60 ,-6.67%,,
471,S4,P4,L9,S4-P4-L9,1.20 ,-32.61%,,
472,S4,P4,L10,S4-P4-L10,0.35 ,-53.97%,,
473,S4,P4,L11,S4-P4-L11,0.09 ,-4.23%,,
474,S4,P5,L1,S4-P5-L1,0.27 ,0.65%,,
475,S4,P5,L2,S4-P5-L2,1.68 ,41.68%,,
476,S4,P5,L3,S4-P5-L3,0.47 ,44.72%,,
477,S4,P5,L4,S4-P5-L4,0.05 ,8.06%,,
478,S4,P5,L5,S4-P5-L5,0.73 ,-2.63%,,
479,S4,P5,L6,S4-P5-L6,0.13 ,14.94%,,
480,S4,P5,L7,S4-P5-L7,1.17 ,-2.13%,,
481,S4,P5,L8,S4-P5-L8,0.64 ,-9.63%,,
482,S4,P5,L9,S4-P5-L9,0.74 ,-34.57%,,
483,S4,P5,L10,S4-P5-L10,0.37 ,-34.18%,,
484,S4,P5,L11,S4-P5-L11,0.11 ,-4.94%,,
485,S4,P6,L1,S4-P6-L1,0.22 ,1.81%,,
486,S4,P6,L2,S4-P6-L2,1.54 ,39.08%,,
487,S4,P6,L3,S4-P6-L3,0.35 ,32.25%,,
488,S4,P6,L4,S4-P6-L4,0.06 ,10.91%,,
489,S4,P6,L5,S4-P6-L5,2.53 ,-4.31%,,
490,S4,P6,L6,S4-P6-L6,0.12 ,18.21%,,
491,S4,P6,L7,S4-P6-L7,1.30 ,1.95%,,
492,S4,P6,L8,S4-P6-L8,0.74 ,-2.58%,,
493,S4,P6,L9,S4-P6-L9,1.76 ,-25.56%,,
494,S4,P6,L10,S4-P6-L10,0.31 ,-32.14%,,
495,S4,P6,L11,S4-P6-L11,0.24 ,-3.74%,,
496,S4,P7,L1,S4-P7-L1,0.05 ,6.17%,,
497,S4,P7,L2,S4-P7-L2,0.74 ,43.58%,,
498,S4,P7,L3,S4-P7-L3,0.19 ,42.65%,,
499,S4,P7,L4,S4-P7-L4,0.07 ,0.44%,,
500,S4,P7,L5,S4-P7-L5,0.56 ,1.04%,,
501,S4,P7,L6,S4-P7-L6,0.09 ,26.47%,,
502,S4,P7,L7,S4-P7-L7,0.63 ,-0.42%,,
503,S4,P7,L8,S4-P7-L8,0.12 ,-9.90%,,
504,S4,P7,L9,S4-P7-L9,0.28 ,-28.87%,,
505,S4,P7,L10,S4-P7-L10,0.96 ,-59.58%,,
506,S4,P7,L11,S4-P7-L11,0.02 ,-25.90%,,
507,S4,P8,L1,S4-P8-L1,0.08 ,0.89%,,
508,S4,P8,L2,S4-P8-L2,1.28 ,47.95%,,
509,S4,P8,L3,S4-P8-L3,0.22 ,46.70%,,
510,S4,P8,L4,S4-P8-L4,0.05 ,11.75%,,
511,S4,P8,L5,S4-P8-L5,0.60 ,1.23%,,
512,S4,P8,L6,S4-P8-L6,0.07 ,27.24%,,
513,S4,P8,L7,S4-P8-L7,1.18 ,-3.48%,,
514,S4,P8,L8,S4-P8-L8,0.19 ,-10.26%,,
515,S4,P8,L9,S4-P8-L9,0.51 ,-33.14%,,
516,S4,P8,L10,S4-P8-L10,0.74 ,-62.51%,,
517,S4,P8,L11,S4-P8-L11,0.02 ,-37.80%,,
518,S4,P9,L1,S4-P9-L1,0.30 ,17.71%,,
519,S4,P9,L2,S4-P9-L2,0.84 ,39.79%,,
520,S4,P9,L3,S4-P9-L3,0.22 ,49.15%,,
521,S4,P9,L4,S4-P9-L4,0.10 ,-0.02%,,
522,S4,P9,L5,S4-P9-L5,0.51 ,-1.53%,,
523,S4,P9,L6,S4-P9-L6,0.06 ,21.83%,,
524,S4,P9,L7,S4-P9-L7,0.42 ,-10.50%,,
525,S4,P9,L8,S4-P9-L8,0.12 ,-10.16%,,
526,S4,P9,L9,S4-P9-L9,0.36 ,-31.29%,,
527,S4,P9,L10,S4-P9-L10,0.48 ,-54.18%,,
528,S4,P9,L11,S4-P9-L11,0.08 ,-12.81%,,
529,S4,P10,L1,S4-P10-L1,0.04 ,-1.64%,,
530,S4,P10,L2,S4-P10-L2,0.22 ,52.60%,,
531,S4,P10,L3,S4-P10-L3,0.04 ,45.38%,,
532,S4,P10,L4,S4-P10-L4,0.07 ,-48.87%,,
533,S4,P10,L5,S4-P10-L5,0.07 ,-8.35%,,
534,S4,P10,L6,S4-P10-L6,0.03 ,19.44%,,
535,S4,P10,L7,S4-P10-L7,0.15 ,-5.89%,,
536,S4,P10,L8,S4-P10-L8,0.03 ,-9.96%,,
537,S4,P10,L9,S4-P10-L9,0.15 ,-23.52%,,
538,S4,P10,L10,S4-P10-L10,0.08 ,-47.40%,,
539,S4,P10,L11,S4-P10-L11,0.02 ,5.96%,,
540,S4,P11,L1,S4-P11-L1,0.06 ,0.18%,,
541,S4,P11,L2,S4-P11-L2,0.29 ,55.28%,,
542,S4,P11,L3,S4-P11-L3,0.08 ,56.66%,,
543,S4,P11,L4,S4-P11-L4,0.42 ,-67.62%,,
544,S4,P11,L5,S4-P11-L5,0.15 ,-14.21%,,
545,S4,P11,L6,S4-P11-L6,0.07 ,31.95%,,
546,S4,P11,L7,S4-P11-L7,0.22 ,-9.73%,,
547,S4,P11,L8,S4-P11-L8,0.05 ,-11.94%,,
548,S4,P11,L9,S4-P11-L9,0.19 ,-30.90%,,
549,S4,P11,L10,S4-P11-L10,0.65 ,-71.80%,,
550,S4,P11,L11,S4-P11-L11,0.05 ,-21.22%,,
551,S4,P12,L1,S4-P12-L1,0.07 ,-0.37%,,
552,S4,P12,L2,S4-P12-L2,0.72 ,51.95%,,
553,S4,P12,L3,S4-P12-L3,0.12 ,60.99%,,
554,S4,P12,L4,S4-P12-L4,0.95 ,-66.47%,,
555,S4,P12,L5,S4-P12-L5,0.27 ,-10.29%,,
556,S4,P12,L6,S4-P12-L6,0.06 ,28.57%,,
557,S4,P12,L7,S4-P12-L7,0.58 ,-10.68%,,
558,S4,P12,L8,S4-P12-L8,0.12 ,-12.99%,,
559,S4,P12,L9,S4-P12-L9,0.31 ,-38.31%,,
560,S4,P12,L10,S4-P12-L10,0.67 ,-72.08%,,
561,S4,P12,L11,S4-P12-L11,0.05 ,-17.30%,,
562,S4,P13,L1,S4-P13-L1,0.06 ,-0.26%,,
563,S4,P13,L2,S4-P13-L2,0.28 ,47.40%,,
564,S4,P13,L3,S4-P13-L3,0.09 ,45.22%,,
565,S4,P13,L4,S4-P13-L4,0.35 ,-55.17%,,
566,S4,P13,L5,S4-P13-L5,0.10 ,-5.42%,,
567,S4,P13,L6,S4-P13-L6,0.08 ,30.36%,,
568,S4,P13,L7,S4-P13-L7,0.19 ,-3.69%,,
569,S4,P13,L8,S4-P13-L8,0.05 ,-8.61%,,
570,S4,P13,L9,S4-P13-L9,0.16 ,-26.85%,,
571,S4,P13,L10,S4-P13-L10,0.46 ,-61.95%,,
572,S4,P13,L11,S4-P13-L11,0.02 ,-20.95%,,
573,S5,P1,L1,S5-P1-L1,0.16 ,-2.07%,,
574,S5,P1,L2,S5-P1-L2,0.38 ,46.19%,,
575,S5,P1,L3,S5-P1-L3,0.34 ,60.46%,,
576,S5,P1,L4,S5-P1-L4,0.60 ,-43.92%,,
577,S5,P1,L5,S5-P1-L5,0.48 ,2.63%,,
578,S5,P1,L6,S5-P1-L6,0.10 ,15.09%,,
579,S5,P1,L7,S5-P1-L7,0.33 ,-14.31%,,
580,S5,P1,L8,S5-P1-L8,0.08 ,-20.91%,,
581,S5,P1,L9,S5-P1-L9,0.30 ,-28.05%,,
582,S5,P1,L10,S5-P1-L10,0.52 ,-53.28%,,
583,S5,P1,L11,S5-P1-L11,0.08 ,-6.56%,,
584,S5,P2,L1,S5-P2-L1,0.47 ,-3.40%,,
585,S5,P2,L2,S5-P2-L2,1.24 ,50.77%,,
586,S5,P2,L3,S5-P2-L3,0.24 ,58.80%,,
587,S5,P2,L4,S5-P2-L4,1.54 ,-41.26%,,
588,S5,P2,L5,S5-P2-L5,0.77 ,5.57%,,
589,S5,P2,L6,S5-P2-L6,0.14 ,35.01%,,
590,S5,P2,L7,S5-P2-L7,1.15 ,-3.79%,,
591,S5,P2,L8,S5-P2-L8,0.32 ,-13.55%,,
592,S5,P2,L9,S5-P2-L9,1.28 ,-2.85%,,
593,S5,P2,L10,S5-P2-L10,0.58 ,-40.91%,,
594,S5,P2,L11,S5-P2-L11,0.08 ,-10.73%,,
595,S5,P3,L1,S5-P3-L1,0.67 ,0.63%,,
596,S5,P3,L2,S5-P3-L2,1.35 ,51.39%,,
597,S5,P3,L3,S5-P3-L3,0.62 ,67.72%,,
598,S5,P3,L4,S5-P3-L4,1.79 ,-36.72%,,
599,S5,P3,L5,S5-P3-L5,0.88 ,20.33%,,
600,S5,P3,L6,S5-P3-L6,0.14 ,26.88%,,
601,S5,P3,L7,S5-P3-L7,1.33 ,-6.99%,,
602,S5,P3,L8,S5-P3-L8,0.52 ,-8.75%,,
603,S5,P3,L9,S5-P3-L9,1.04 ,-7.03%,,
604,S5,P3,L10,S5-P3-L10,0.28 ,-43.36%,,
605,S5,P3,L11,S5-P3-L11,0.17 ,-7.97%,,
606,S5,P4,L1,S5-P4-L1,0.47 ,0.62%,,
607,S5,P4,L2,S5-P4-L2,0.99 ,47.56%,,
608,S5,P4,L3,S5-P4-L3,0.25 ,58.30%,,
609,S5,P4,L4,S5-P4-L4,0.63 ,-39.95%,,
610,S5,P4,L5,S5-P4-L5,0.33 ,8.71%,,
611,S5,P4,L6,S5-P4-L6,0.17 ,24.34%,,
612,S5,P4,L7,S5-P4-L7,0.92 ,-2.18%,,
613,S5,P4,L8,S5-P4-L8,0.15 ,-13.26%,,
614,S5,P4,L9,S5-P4-L9,0.70 ,-12.71%,,
615,S5,P4,L10,S5-P4-L10,1.01 ,-42.59%,,
616,S5,P4,L11,S5-P4-L11,0.10 ,-20.38%,,
617,S5,P5,L1,S5-P5-L1,0.19 ,0.34%,,
618,S5,P5,L2,S5-P5-L2,1.60 ,49.80%,,
619,S5,P5,L3,S5-P5-L3,0.29 ,50.96%,,
620,S5,P5,L4,S5-P5-L4,0.81 ,-47.49%,,
621,S5,P5,L5,S5-P5-L5,0.69 ,7.80%,,
622,S5,P5,L6,S5-P5-L6,0.14 ,27.14%,,
623,S5,P5,L7,S5-P5-L7,1.92 ,4.02%,,
624,S5,P5,L8,S5-P5-L8,0.57 ,-7.00%,,
625,S5,P5,L9,S5-P5-L9,0.96 ,-11.72%,,
626,S5,P5,L10,S5-P5-L10,1.21 ,-43.64%,,
627,S5,P5,L11,S5-P5-L11,0.11 ,-10.54%,,
628,S5,P6,L1,S5-P6-L1,0.15 ,0.20%,,
629,S5,P6,L2,S5-P6-L2,1.22 ,48.24%,,
630,S5,P6,L3,S5-P6-L3,0.40 ,53.80%,,
631,S5,P6,L4,S5-P6-L4,0.82 ,-41.09%,,
632,S5,P6,L5,S5-P6-L5,0.54 ,17.13%,,
633,S5,P6,L6,S5-P6-L6,0.14 ,32.70%,,
634,S5,P6,L7,S5-P6-L7,0.74 ,-5.40%,,
635,S5,P6,L8,S5-P6-L8,0.28 ,-5.07%,,
636,S5,P6,L9,S5-P6-L9,1.06 ,-11.11%,,
637,S5,P6,L10,S5-P6-L10,0.68 ,-40.23%,,
638,S5,P6,L11,S5-P6-L11,0.10 ,-11.64%,,
639,S5,P7,L1,S5-P7-L1,0.05 ,-0.25%,,
640,S5,P7,L2,S5-P7-L2,0.29 ,49.18%,,
641,S5,P7,L3,S5-P7-L3,0.10 ,44.53%,,
642,S5,P7,L4,S5-P7-L4,0.27 ,-54.85%,,
643,S5,P7,L5,S5-P7-L5,0.23 ,1.04%,,
644,S5,P7,L6,S5-P7-L6,0.04 ,16.77%,,
645,S5,P7,L7,S5-P7-L7,0.30 ,-10.69%,,
646,S5,P7,L8,S5-P7-L8,0.08 ,-5.67%,,
647,S5,P7,L9,S5-P7-L9,0.22 ,-20.23%,,
648,S5,P7,L10,S5-P7-L10,0.83 ,-53.37%,,
649,S5,P7,L11,S5-P7-L11,0.02 ,-29.68%,,
650,S5,P8,L1,S5-P8-L1,0.09 ,-4.46%,,
651,S5,P8,L2,S5-P8-L2,0.27 ,42.83%,,
652,S5,P8,L3,S5-P8-L3,0.19 ,59.07%,,
653,S5,P8,L4,S5-P8-L4,0.24 ,-51.97%,,
654,S5,P8,L5,S5-P8-L5,0.17 ,17.14%,,
655,S5,P8,L6,S5-P8-L6,0.06 ,24.24%,,
656,S5,P8,L7,S5-P8-L7,0.41 ,-12.03%,,
657,S5,P8,L8,S5-P8-L8,0.06 ,-10.70%,,
658,S5,P8,L9,S5-P8-L9,0.27 ,-21.89%,,
659,S5,P8,L10,S5-P8-L10,0.23 ,-51.73%,,
660,S5,P8,L11,S5-P8-L11,0.06 ,2.92%,,
661,S5,P9,L1,S5-P9-L1,0.12 ,-0.40%,,
662,S5,P9,L2,S5-P9-L2,0.62 ,45.61%,,
663,S5,P9,L3,S5-P9-L3,0.07 ,40.41%,,
664,S5,P9,L4,S5-P9-L4,0.16 ,-51.35%,,
665,S5,P9,L5,S5-P9-L5,0.17 ,13.04%,,
666,S5,P9,L6,S5-P9-L6,0.08 ,26.83%,,
667,S5,P9,L7,S5-P9-L7,0.45 ,-12.26%,,
668,S5,P9,L8,S5-P9-L8,0.09 ,-0.52%,,
669,S5,P9,L9,S5-P9-L9,0.35 ,-14.63%,,
670,S5,P9,L10,S5-P9-L10,0.70 ,-48.68%,,
671,S5,P9,L11,S5-P9-L11,0.06 ,-9.24%,,
672,S5,P10,L1,S5-P10-L1,0.10 ,-3.55%,,
673,S5,P10,L2,S5-P10-L2,0.46 ,45.05%,,
674,S5,P10,L3,S5-P10-L3,0.05 ,38.00%,,
675,S5,P10,L4,S5-P10-L4,0.07 ,-40.07%,,
676,S5,P10,L5,S5-P10-L5,0.09 ,1.65%,,
677,S5,P10,L6,S5-P10-L6,0.11 ,27.57%,,
678,S5,P10,L7,S5-P10-L7,0.35 ,-3.56%,,
679,S5,P10,L8,S5-P10-L8,0.11 ,7.78%,,
680,S5,P10,L9,S5-P10-L9,0.27 ,-7.17%,,
681,S5,P10,L10,S5-P10-L10,0.65 ,-45.01%,,
682,S5,P10,L11,S5-P10-L11,0.04 ,-9.35%,,
683,S5,P11,L1,S5-P11-L1,0.09 ,-2.61%,,
684,S5,P11,L2,S5-P11-L2,0.37 ,46.33%,,
685,S5,P11,L3,S5-P11-L3,0.10 ,52.11%,,
686,S5,P11,L4,S5-P11-L4,0.19 ,-55.64%,,
687,S5,P11,L5,S5-P11-L5,0.11 ,-7.61%,,
688,S5,P11,L6,S5-P11-L6,0.08 ,28.43%,,
689,S5,P11,L7,S5-P11-L7,0.33 ,-13.33%,,
690,S5,P11,L8,S5-P11-L8,0.11 ,-2.04%,,
691,S5,P11,L9,S5-P11-L9,0.24 ,-15.39%,,
692,S5,P11,L10,S5-P11-L10,0.42 ,-56.80%,,
693,S5,P11,L11,S5-P11-L11,0.04 ,-10.41%,,
694,S5,P12,L1,S5-P12-L1,0.06 ,-4.61%,,
695,S5,P12,L2,S5-P12-L2,0.41 ,46.85%,,
696,S5,P12,L3,S5-P12-L3,0.14 ,57.67%,,
697,S5,P12,L4,S5-P12-L4,0.16 ,-56.00%,,
698,S5,P12,L5,S5-P12-L5,0.08 ,-5.67%,,
699,S5,P12,L6,S5-P12-L6,0.04 ,32.91%,,
700,S5,P12,L7,S5-P12-L7,0.13 ,-15.44%,,
701,S5,P12,L8,S5-P12-L8,0.07 ,-5.85%,,
702,S5,P12,L9,S5-P12-L9,0.19 ,-14.52%,,
703,S5,P12,L10,S5-P12-L10,0.38 ,-58.04%,,
704,S5,P12,L11,S5-P12-L11,0.04 ,-15.60%,,
705,S5,P13,L1,S5-P13-L1,0.04 ,-9.16%,,
706,S5,P13,L2,S5-P13-L2,0.18 ,48.38%,,
707,S5,P13,L3,S5-P13-L3,0.08 ,46.42%,,
708,S5,P13,L4,S5-P13-L4,0.10 ,-56.59%,,
709,S5,P13,L5,S5-P13-L5,0.07 ,1.68%,,
710,S5,P13,L6,S5-P13-L6,0.06 ,26.02%,,
711,S5,P13,L7,S5-P13-L7,0.07 ,-15.61%,,
712,S5,P13,L8,S5-P13-L8,0.04 ,-8.39%,,
713,S5,P13,L9,S5-P13-L9,0.12 ,-15.21%,,
714,S5,P13,L10,S5-P13-L10,0.32 ,-57.65%,,
715,S5,P13,L11,S5-P13-L11,0.03 ,-11.50%,,
716,S6,P1,L1,S6-P1-L1,0.50 ,-2.35%,,
717,S6,P1,L2,S6-P1-L2,0.98 ,47.44%,,
718,S6,P1,L3,S6-P1-L3,0.49 ,69.02%,,
719,S6,P1,L4,S6-P1-L4,1.10 ,-49.22%,,
720,S6,P1,L5,S6-P1-L5,0.31 ,-3.22%,,
721,S6,P1,L6,S6-P1-L6,0.19 ,43.50%,,
722,S6,P1,L7,S6-P1-L7,0.46 ,-5.78%,,
723,S6,P1,L8,S6-P1-L8,0.19 ,-6.32%,,
724,S6,P1,L9,S6-P1-L9,0.53 ,-15.93%,,
725,S6,P1,L10,S6-P1-L10,0.88 ,-55.85%,,
726,S6,P1,L11,S6-P1-L11,0.09 ,-11.73%,,
