,rxn_smiles,well,cat_smiles,cat,cat_cas,cat_mdl,base_smiles,base,product_1_area,outcomes[0].products[1].measurements[0].percentage.value,product_2_area
0,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CCCCP([C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)[C@@]67C[C@@H]8C[C@@H](C[C@@H](C8)C6)C7.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-01,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CCCCP([C@@]34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)[C@@]67C[C@@H]8C[C@@H](C[C@@H](C8)C6)C7,cataCXium A Pd G3,1651823-59-4,MFCD28144563,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,0,
1,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(O[Pd]c1c(c2c(N)cccc2)cccc1)=O.COc3c(P(C4CCCCC4)C5CCCCC5)c(c6c(C(C)C)cc(C(C)C)cc6C(C)C)c(OC)cc3.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-02,CS(=O)(O[Pd]c1c(c2c(N)cccc2)cccc1)=O.COc3c(P(C4CCCCC4)C5CCCCC5)c(c6c(C(C)C)cc(C(C)C)cc6C(C)C)c(OC)cc3,BrettPhos Pd G3,1470372-59-8,MFCD22572666,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,0,
2,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)Oc3cccc(OC(C)C)c3-c4ccccc4P(C5CCCCC5)C6CCCCC6.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-03,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)Oc3cccc(OC(C)C)c3-c4ccccc4P(C5CCCCC5)C6CCCCC6,RuPhos Pd G3,1445085-77-7,MFCD22572684,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,4,
3,Brc1cnc2ccccc2c1.OCc1cocn1>CC(C1=CC(C(C)C)=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=C1)C.NC5=C(C=CC=C5)C6=C(C=CC=C6)[Pd]OS(C)(=O)=O.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-04,CC(C1=CC(C(C)C)=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=C1)C.NC5=C(C=CC=C5)C6=C(C=CC=C6)[Pd]OS(C)(=O)=O,XPhos Pd G3,1445085-55-1,MFCD22666043,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,1,
4,Brc1cnc2ccccc2c1.OCc1cocn1>O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C4=C(C=5C(=CC(=CC5C(C)C)C(C)C)C(C)C)C(=C(C(=C4C)C)C)C)(C(C)(C)C)C(C)(C)C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-05,O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C4=C(C=5C(=CC(=CC5C(C)C)C(C)C)C(C)C)C(=C(C(=C4C)C)C)C)(C(C)(C)C)C(C)(C)C)C,4MetBuXPhos Pd G3,1507403-85-1,MFCD28009172,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,5,
5,Brc1cnc2ccccc2c1.OCc1cocn1>O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH]1C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-06,O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH]1C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C,P(t-Bu)3 Pd G4,1621274-11-0,MFCD28411657,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,2,4,
6,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.COc3cccc(OC)c3-c4ccccc4P(C5CCCCC5)C6CCCCC6.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-07,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.COc3cccc(OC)c3-c4ccccc4P(C5CCCCC5)C6CCCCC6,SPhos Pd G3,1445085-82-4,MFCD29472404,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,2,
7,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(O[Pd]c1c(c2c(N)cccc2)cccc1)=O.COc3c(P(C4CCCCC4)C5CCCCC5)c(c6c(C(C)C)cc(C(C)C)cc6C(C)C)c(OC)cc3.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-08,CS(=O)(O[Pd]c1c(c2c(N)cccc2)cccc1)=O.COc3c(P(C4CCCCC4)C5CCCCC5)c(c6c(C(C)C)cc(C(C)C)cc6C(C)C)c(OC)cc3,BrettPhos Pd G3,1470372-59-8,MFCD22572666,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,0,
8,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)Oc3cccc(OC(C)C)c3-c4ccccc4P(C5CCCCC5)C6CCCCC6.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-09,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)Oc3cccc(OC(C)C)c3-c4ccccc4P(C5CCCCC5)C6CCCCC6,RuPhos Pd G3,1445085-77-7,MFCD22572684,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,0,
9,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-10,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.CC(C)c3cc(C(C)C)c(c(c3)C(C)C)-c4ccccc4P(C(C)(C)C)C(C)(C)C,tBuXPhos Pd G3,1447963-75-8,MFCD22666411,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,6,
10,Brc1cnc2ccccc2c1.OCc1cocn1>O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C4=C(C=5C(=CC(=CC5C(C)C)C(C)C)C(C)C)C(=C(C(=C4C)C)C)C)(C(C)(C)C)C(C)(C)C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-11,O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C4=C(C=5C(=CC(=CC5C(C)C)C(C)C)C(C)C)C(=C(C(=C4C)C)C)C)(C(C)(C)C)C(C)(C)C)C,4MetBuXPhos Pd G3,1507403-85-1,MFCD28009172,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,9,
11,Brc1cnc2ccccc2c1.OCc1cocn1>O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH]1C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,A-12,O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH]1C)[P](C(C)(C)C)(C(C)(C)C)C(C)(C)C)C,P(t-Bu)3 Pd G4,1621274-11-0,MFCD28411657,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,1,
12,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.C3CCC(CC3)P(C4CCCCC4)C5CCCCC5.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-01,CS(=O)(=O)O[Pd]c1ccccc1-c2ccccc2N.C3CCC(CC3)P(C4CCCCC4)C5CCCCC5,P(Cy3) Pd G3,1445086-12-3,unknown,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,1,
13,Brc1cnc2ccccc2c1.OCc1cocn1>Cl[Pd]Cl.Clc1cccnc1.CC(C)c2cccc(C(C)C)c2N3CN(C=C3)c4c(cccc4C(C)C)C(C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-02,Cl[Pd]Cl.Clc1cccnc1.CC(C)c2cccc(C(C)C)c2N3CN(C=C3)c4c(cccc4C(C)C)C(C)C,PEPPSI-IPr,905459-27-0,MFCD08457656,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,2,11,
14,Brc1cnc2ccccc2c1.OCc1cocn1>Cl[Pd]Cl.Clc1cccnc1.CC(C)c2cccc(C(C)C)c2N3[CH]N(CC3)c4c(cccc4C(C)C)C(C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-03,Cl[Pd]Cl.Clc1cccnc1.CC(C)c2cccc(C(C)C)c2N3[CH]N(CC3)c4c(cccc4C(C)C)C(C)C,PEPPSI-SIPr,927706-57-8,unknown,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,11,
15,Brc1cnc2ccccc2c1.OCc1cocn1>O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C=4C=CC=CC4C)(C=5C=CC=CC5C)C=6C=CC=CC6C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-04,O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C=4C=CC=CC4C)(C=5C=CC=CC5C)C=6C=CC=CC6C)C,(o-tol)3P Pd G3,1445086-07-6,MFCD29037022,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,32,
16,Brc1cnc2ccccc2c1.OCc1cocn1>O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C=4C=CC=CC4C=5C=CC=CC5)(C6CCCCC6)C7CCCCC7)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-05,O=S(=O)([O-][Pd+2]1([C-]=2C=CC=CC2C=3C=CC=CC3[NH2]1)[P](C=4C=CC=CC4C=5C=CC=CC5)(C6CCCCC6)C7CCCCC7)C,CyJohnPhos Pd G3,2230788-64-2,MFCD28009175,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,1,4,
17,Brc1cnc2ccccc2c1.OCc1cocn1>Cl[Pd]Cl.C(CCP(c1ccccc1)c2ccccc2)CP(c3ccccc3)c4ccccc4.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-06,Cl[Pd]Cl.C(CCP(c1ccccc1)c2ccccc2)CP(c3ccccc3)c4ccccc4,Pd(dppb)Cl2,29964-62-3,MFCD02093437,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,2,7,
18,Brc1cnc2ccccc2c1.OCc1cocn1>COC1=CC=C(C(P(C(C)(C)C)C(C)(C)C)=C1C2=C(C=C(C=C2C(C)C)C(C)C)C(C)C)OC.NC3=C(C=CC=C3)C4=C(C=CC=C4)[Pd]OS(C)(=O)=O.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-07,COC1=CC=C(C(P(C(C)(C)C)C(C)(C)C)=C1C2=C(C=C(C=C2C(C)C)C(C)C)C(C)C)OC.NC3=C(C=CC=C3)C4=C(C=CC=C4)[Pd]OS(C)(=O)=O,tBuBrettPhos Pd G3,1536473-72-9,MFCD25976528,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,0,
19,Brc1cnc2ccccc2c1.OCc1cocn1>COC1=CC=C(OC)C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)=C1P([C@]34C[C@H]5C[C@H](C[C@H](C5)C4)C3)[C@@]6(C[C@H](C7)C8)CC7C[C@H]8C6.NC9=CC=CC=C9C%10=CC=CC=C%10[Pd]OS(C)(=O)=O.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-08,COC1=CC=C(OC)C(C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C)=C1P([C@]34C[C@H]5C[C@H](C[C@H](C5)C4)C3)[C@@]6(C[C@H](C7)C8)CC7C[C@H]8C6.NC9=CC=CC=C9C%10=CC=CC=C%10[Pd]OS(C)(=O)=O,AdBrettPhos Pd G3,1445972-29-1,MFCD27952546,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,0,
20,Brc1cnc2ccccc2c1.OCc1cocn1>CC1=CC=C(OC)C(P(C(C)(C)C)C(C)(C)C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C.NC3=CC=CC=C3C4=CC=CC=C4[Pd]OS(C)(=O)=O.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-09,CC1=CC=C(OC)C(P(C(C)(C)C)C(C)(C)C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C.NC3=CC=CC=C3C4=CC=CC=C4[Pd]OS(C)(=O)=O,RockPhos Pd G3,2009020-38-4,MFCD27952542,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,1,
21,Brc1cnc2ccccc2c1.OCc1cocn1>NC1=C(C=CC=C1)C2=C([Pd]OS(C)(=O)=O)C=CC=C2.C[C@@H](P(C(C)(C)C)C(C)(C)C)[C]3[C](P(C4CCCCC4)C5CCCCC5)[C][C][C]3.[C]6[C][C][C][C]6.[Fe].C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-10,NC1=C(C=CC=C1)C2=C([Pd]OS(C)(=O)=O)C=CC=C2.C[C@@H](P(C(C)(C)C)C(C)(C)C)[C]3[C](P(C4CCCCC4)C5CCCCC5)[C][C][C]3.[C]6[C][C][C][C]6.[Fe],SL-J009-1 Pd G3,1702311-34-9,MFCD27978424,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,20,
22,Brc1cnc2ccccc2c1.OCc1cocn1>CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1.[Cu]Br.CSC>OCc1coc(-c2cnc3ccccc3c2)n1.OCc1ncoc1-c1cnc2ccccc2c1.OCc1nc(-c2cnc3ccccc3c2)oc1-c1cnc2ccccc2c1,B-11,CS(=O)(=O)O[Pd]c1ccccc1-c1ccccc1N.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,DTBPF-Pd-G3,unknown,MFCD28009169,C(=O)([O-])[O-].[Cs+].[Cs+],caesium carbonate,0,5,
